Fast Food Restaurant,Item,Type,Cal/g,Serving Size (g),Calories,Total Fat (g),Saturated Fat (g),Trans Fat (g),Sodium (mg),Carbs (g),Sugars (g),Protein (g)
Whataburger,Grilled Chicken Sandwich,Breaded Chicken Sandwich,1.547,278,430,13,3,0,1040,49,13,35
Whataburger,Whatachick'n® Sandwich,Grilled Chicken Sandwich,1.965,285,560,22,4,0,1050,69,14,29
Whataburger,Whatachick'n® Strips 2 Piece,Chicken Nuggets,2.022,183,370,20,4,0,1050,31,1,17
Whataburger,French Fries (Small),French Fries,3.294,85,280,14,2,0,170,35,0,3
Whataburger,Chocolate Shake 16 oz,Milkshake,1.254,343,430,9,6,0,400,79,77,8
In-N-Out Burger,Hamburger w/Onion,Burger,1.605,243,390,19,5,0,650,39,10,16
In-N-Out Burger,Cheeseburger w/Onion,Burger,1.791,268,480,27,10,0.5,1000,39,10,22
In-N-Out Burger,Double-Double w/Onion,Burger,2.030,330,670,41,18,1,1440,39,10,37
In-N-Out Burger,French Fries,French Fries,3.160,125,395,18,5,0,245,54,0,7
In-N-Out Burger,Chocolate Shake (15oz),Milkshake,1.838,321,590,29,19,1,320,72,65,10
